Marijo,mtissier0@stanford.edu,44979529336,1980-09-05,m,9350.61,"Afonso Cláudio","Espírito Santo","6689 Knutson Avenue",69945000,32,Holmberg
Maude,mwilkisson1@pinterest.com,70624199395,1981-01-02,m,1326.37,"Água Doce do Norte","Espírito Santo","54 Buell Alley",69935000,71694,Schmedeman
Roderich,rrhubottom2@examiner.com,34068649064,1982-06-09,m,8581.50,"Águia Branca","Espírito Santo","3364 Hollow Ridge Trail",69932000,966,Westridge
Mortimer,mfairy3@taobao.com,19799365764,1983-02-20,f,8926.92,Alegre,"Espírito Santo","5701 Amoth Lane",69926000,51158,Westridge
Griffy,glandrieu4@umn.edu,66361377117,1984-07-27,f,8889.59,"Alfredo Chaves","Espírito Santo","2 Hovde Place",69931000,97,"High Crossing"
Godfrey,gdenisovich5@marketwatch.com,43926275134,1985-08-24,f,7666.70,"Alto Rio Novo","Espírito Santo","206 Northfield Street",69980000,4,"Pepper Wood"
Elsa,edocwra6@harvard.edu,42299867776,1986-12-27,f,1664.21,Anchieta,"Espírito Santo","15 Lillian Street",69934000,673,Schurz
Pet,pbrooksbank7@businessinsider.com,35645789859,1987-10-09,m,5321.91,Apiacá,"Espírito Santo","3278 Nova Lane",69960000,4,Oriole
Eldredge,ezapater8@hubpages.com,46008203919,1988-10-05,m,1615.95,Aracruz,"Espírito Santo","48529 Homewood Court",69975000,1,Main
Hoebart,hsurgeon9@tmall.com,44459429300,1989-06-22,m,2114.51,"Atilio Vivacqua","Espírito Santo","43 Rowland Lane",69990000,39322,Hermina
Chic,charrisona@liveinternet.ru,57158959760,1990-09-05,m,5724.68,"Baixo Guandu","Espírito Santo","7734 Stang Junction",69950000,79798,Scott
Shelden,smatuszynskib@time.com,28845454164,1991-01-25,m,2278.86,"Barra de São Francisco","Espírito Santo","282 Arizona Trail",69983000,9,"Lighthouse Bay"
Kort,khenmarshc@bing.com,46528141135,1992-11-26,m,4220.76,"Boa Esperança","Espírito Santo","28 Lindbergh Terrace",69928000,9288,Bay
Bab,bherrerand@bigcartel.com,34671559598,1993-01-26,f,4266.72,"Bom Jesus do Norte","Espírito Santo","56 Straubel Road",69927000,81,Barby
Esma,ejeacocke@microsoft.com,19005547419,1994-06-09,f,8671.29,Brejetuba,"Espírito Santo","31598 Hollow Ridge Trail",69982000,69892,Goodland
